1005,9285,Gold,31-10-2016
104,588,Gold,31-12-2016
747,4915,Gold,31-01-2017
70,439,Gold,31-01-2017
577,3687,Gold,31-01-2017
377,2429,Gold,28-02-2017
721,4680,Silver,31-03-2017
437,2762,Gold,31-05-2017
188,1146,Gold,31-05-2017
13,87,Gold,31-05-2017
732,4763,Gold,30-06-2017
181,1066,Gold,31-07-2017
384,2475,Silver,31-08-2017
309,1946,Gold,31-08-2017
478,3084,Gold,30-09-2017
563,3589,Gold,30-09-2017
369,2363,Gold,31-10-2017
376,2428,Gold,31-10-2017
483,3115,Gold,31-10-2017
174,1039,Silver,30-11-2017
658,4251,Gold,30-11-2017
763,5138,Silver,30-11-2017
778,5275,Gold,31-12-2017
1039,9837,Gold,31-12-2017
477,3082,Silver,31-12-2017
168,1018,Gold,31-12-2017
314,1999,Silver,31-12-2017
468,3023,Gold,31-12-2017
208,1246,Diamond,31-01-2018
766,5200,Gold,31-01-2018
464,2984,Gold,31-01-2018
497,3184,Gold,28-02-2018
166,999,Gold,28-02-2018
15,114,Gold,28-02-2018
503,3225,Gold,28-02-2018
1038,9787,Silver,28-02-2018
737,4791,Gold,31-03-2018
418,2623,Gold,31-03-2018
759,5117,Silver,31-03-2018
223,1353,Gold,31-03-2018
5,51,Silver,31-03-2018
159,946,Gold,30-04-2018
1223,13231,Silver,30-04-2018
662,4293,Gold,30-04-2018
779,5323,Silver,30-04-2018
1040,9890,Silver,30-04-2018
545,3458,Gold,30-04-2018
467,3019,Gold,31-05-2018
1247,13660,Gold,31-05-2018
652,4211,Gold,31-05-2018
559,3573,Gold,31-05-2018
719,4663,Gold,31-05-2018
397,2513,Gold,31-05-2018
107,593,Gold,31-05-2018
661,4270,Gold,30-06-2018
484,3116,Gold,30-06-2018
501,3197,Gold,30-06-2018
422,2650,Silver,30-06-2018
705,4555,Gold,30-06-2018
410,2569,Gold,30-06-2018
136,778,Gold,30-06-2018
592,3782,Silver,31-07-2018
262,1647,Silver,31-07-2018
18,128,Gold,31-07-2018
3,41,Diamond,31-08-2018
98,537,Gold,31-08-2018
167,1011,Gold,31-08-2018
97,531,Silver,31-08-2018
699,4532,Gold,31-08-2018
342,2157,Gold,31-08-2018
713,4627,Gold,31-08-2018
118,652,Gold,30-09-2018
783,5433,Silver,30-09-2018
1103,11189,Gold,31-10-2018
504,3230,Silver,31-10-2018
261,1629,Diamond,31-10-2018
296,1876,Diamond,31-10-2018
113,629,Silver,31-10-2018
92,508,Gold,31-10-2018
1225,13268,Gold,31-10-2018
393,2498,Silver,30-11-2018
695,4507,Gold,30-11-2018
666,4328,Silver,30-11-2018
462,2978,Gold,30-11-2018
85,489,Gold,30-11-2018
337,2141,Gold,31-12-2018
771,5233,Gold,31-12-2018
379,2431,Gold,31-12-2018
106,592,Gold,31-12-2018
606,3883,Gold,31-12-2018
427,2688,Diamond,31-12-2018
202,1228,Gold,31-01-2019
814,5911,Gold,31-01-2019
1064,10328,Gold,31-01-2019
14,112,Gold,31-01-2019
423,2657,Gold,31-01-2019
989,9119,Gold,31-01-2019
364,2329,Gold,31-01-2019
267,1691,Silver,28-02-2019
621,3970,Silver,28-02-2019
1139,11836,Silver,28-02-2019
725,4715,Silver,28-02-2019
150,859,Gold,28-02-2019
302,1900,Gold,28-02-2019
372,2395,Gold,28-02-2019
499,3187,Gold,31-03-2019
229,1384,Gold,31-03-2019
289,1831,Silver,31-03-2019
1100,11101,Silver,31-03-2019
37,238,Gold,31-03-2019
286,1812,Diamond,31-03-2019
157,907,Gold,31-03-2019
216,1310,Silver,31-03-2019
977,8968,Gold,30-04-2019
183,1080,Gold,30-04-2019
945,8342,Silver,30-04-2019
44,268,Silver,30-04-2019
600,3829,Gold,30-04-2019
127,714,Gold,30-04-2019
764,5159,Gold,30-04-2019
204,1239,Silver,30-04-2019
1134,11742,Gold,30-04-2019
312,1971,Gold,31-05-2019
313,1980,Gold,31-05-2019
641,4116,Gold,31-05-2019
731,4751,Gold,31-05-2019
84,487,Gold,31-05-2019
265,1680,Gold,31-05-2019
1176,12502,Diamond,30-06-2019
1233,13382,Gold,30-06-2019
407,2555,Gold,30-06-2019
320,2045,Gold,30-06-2019
1187,12635,Diamond,30-06-2019
121,666,Silver,30-06-2019
1055,10171,Gold,30-06-2019
303,1912,Gold,31-07-2019
651,4201,Silver,31-07-2019
736,4789,Gold,31-07-2019
24,153,Silver,31-07-2019
587,3763,Silver,31-07-2019
119,655,Gold,31-07-2019
670,4343,Gold,31-07-2019
227,1380,Gold,31-07-2019
1164,12269,Gold,31-07-2019
1043,9974,Silver,31-07-2019
278,1779,Gold,31-07-2019
103,584,Silver,31-07-2019
673,4353,Silver,31-07-2019
38,242,Gold,31-07-2019
470,3036,Gold,31-08-2019
890,7422,Gold,31-08-2019
514,3267,Gold,31-08-2019
741,4832,Gold,31-08-2019
882,7195,Gold,31-08-2019
12,83,Silver,31-08-2019
152,876,Gold,31-08-2019
163,984,Gold,31-08-2019
708,4568,Silver,31-08-2019
1087,10887,Gold,30-09-2019
854,6753,Gold,30-09-2019
601,3830,Gold,30-09-2019
99,548,Diamond,30-09-2019
547,3477,Gold,30-09-2019
40,255,Gold,30-09-2019
220,1333,Gold,30-09-2019
390,2490,Gold,30-09-2019
776,5263,Gold,30-09-2019
197,1202,Silver,30-09-2019
516,3279,Gold,30-09-2019
381,2440,Gold,30-09-2019
1010,9413,Gold,30-09-2019
813,5873,Silver,30-09-2019
272,1754,Silver,30-09-2019
772,5243,Gold,30-09-2019
528,3356,Gold,30-09-2019
1014,9452,Gold,31-10-2019
87,493,Gold,31-10-2019
88,496,Gold,31-10-2019
441,2785,Gold,31-10-2019
562,3583,Gold,31-10-2019
690,4479,Gold,31-10-2019
374,2423,Gold,31-10-2019
57,347,Gold,31-10-2019
722,4684,Gold,31-10-2019
300,1890,Gold,31-10-2019
117,649,Silver,31-10-2019
541,3427,Silver,31-10-2019
294,1861,Gold,30-11-2019
10,77,Gold,30-11-2019
710,4588,Silver,30-11-2019
408,2560,Gold,30-11-2019
363,2324,Silver,30-11-2019
697,4518,Gold,30-11-2019
433,2724,Gold,30-11-2019
642,4137,Gold,30-11-2019
243,1478,Gold,30-11-2019
162,967,Silver,30-11-2019
594,3794,Silver,30-11-2019
609,3893,Gold,30-11-2019
1111,11288,Gold,30-11-2019
786,5478,Gold,30-11-2019
1118,11393,Gold,31-12-2019
175,1040,Gold,31-12-2019
565,3601,Diamond,31-12-2019
714,4638,Gold,31-12-2019
137,786,Silver,31-12-2019
22,138,Gold,31-12-2019
325,2102,Gold,31-12-2019
194,1182,Gold,31-12-2019
668,4340,Gold,31-12-2019
706,4559,Diamond,31-12-2019
850,6644,Gold,31-12-2019
298,1885,Gold,31-12-2019
105,590,Gold,31-12-2019
1036,9735,Gold,31-12-2019
292,1842,Diamond,31-12-2019
112,626,Silver,31-12-2019
